value,time
6.00,3
6.00,6
8.00,9
6.00,11
7.00,13
6.00,20
6.00,33
6.00,39
6.00,44
6.00,65
6.00,68
10.00,76
6.00,95
6.00,102
6.00,104
6.00,112
6.00,114
6.00,118
6.00,120
7.00,126
6.00,130
6.00,131
6.00,136
7.00,137
7.00,139
9.00,140
8.00,142
8.00,143
7.00,145
9.00,146
8.00,148
7.00,149
6.00,150
9.00,151
7.00,153
10.00,154
7.00,155
7.00,156
6.00,157
13.00,158
13.00,159
11.00,160
15.00,161
16.00,162
13.00,163
17.00,164
18.00,165
12.00,166
18.00,167
18.00,168
14.00,169
18.00,170
19.00,171
14.00,172
18.00,173
20.00,174
21.00,175
17.00,176
22.00,177
16.00,178
16.00,179
22.00,180
17.00,181
17.00,182
21.00,183
18.00,184
18.00,185
22.00,186
20.00,187
17.00,188
21.00,189
21.00,190
16.00,191
20.00,192
21.00,193
17.00,194
20.00,195
21.00,196
17.00,197
19.00,198
19.00,199
18.00,200
17.00,201
25.00,202
16.00,203
17.00,204
23.00,205
20.00,206
15.00,207
20.00,208
20.00,209
16.00,210
20.00,211
20.00,212
18.00,213
19.00,214
22.00,215
17.00,216
17.00,217
22.00,218
19.00,219
16.00,220
20.00,221
20.00,222
16.00,223
18.00,224
22.00,225
16.00,226
18.00,227
21.00,228
17.00,229
16.00,230
20.00,231
20.00,232
16.00,233
18.00,234
21.00,235
17.00,236
18.00,237
22.00,238
21.00,239
20.00,11702
17.00,11703
19.00,11704
17.00,11705
19.00,11706
17.00,11707
20.00,11708
21.00,11709
22.00,11710
16.00,11711
20.00,11712
18.00,11713
17.00,11714
17.00,11715
14.00,11716
15.00,11717
16.00,11718
17.00,11719
18.00,11720
18.00,11721
18.00,11722
20.00,11723
22.00,11724
22.00,11725
22.00,11726
21.00,11727
22.00,11728
20.00,11729
19.00,11730
18.00,11731
17.00,11732
16.00,11733
16.00,11734
16.00,11735
16.00,11736
17.00,11737
19.00,11738
22.00,11739
18.00,11740
21.00,11741
22.00,11742
22.00,11743
21.00,11744
19.00,11745
20.00,11746
18.00,11747
16.00,11748
17.00,11749
15.00,11750
15.00,11751
18.00,11752
19.00,11753
18.00,11754
19.00,11755
20.00,11756
21.00,11757
20.00,11758
22.00,11759
22.00,11760
21.00,11761
19.00,11762
17.00,11763
17.00,11764
15.00,11765
16.00,11766
17.00,11767
17.00,11768
18.00,11769
19.00,11770
20.00,11771
22.00,11772
22.00,11773
21.00,11774
17.00,11775
20.00,11776
20.00,11777
18.00,11778
21.00,11779
17.00,11780
16.00,11781
17.00,11782
16.00,11783
17.00,11784
17.00,11785
20.00,11786
20.00,11787
21.00,11788
22.00,11789
20.00,11790
21.00,11791
21.00,11792
18.00,11793
18.00,11794
17.00,11795
16.00,11796
18.00,11797
16.00,11798
15.00,11799
18.00,11800
18.00,11801
19.00,11802
23.00,11803
22.00,11804
22.00,11805
23.00,11806
22.00,11807
18.00,11808
18.00,11809
19.00,11810
16.00,11811
17.00,11812
17.00,11813
17.00,11814
17.00,11815
19.00,11816
19.00,11817
18.00,11818
22.00,11819
22.00,11820
22.00,11821
